INFO:tensorflow:Using MirroredStrategy with devices ('/job:localhost/replica:0/task:0/device:GPU:0',)
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
Start training...
Start epoch 1 with learning rate 0.0007
/opt/conda/lib/python3.9/site-packages/tensorflow/python/data/ops/dataset_ops.py:374: UserWarning: To make it possible to preserve tf.data options across serialization boundaries, their implementation has moved to be part of the TensorFlow graph. As a consequence, the options value is in general no longer known at graph construction time. Invoking this method in graph mode retains the legacy behavior of the original implementation, but note that the returned value might not reflect the actual value of the options.
  warnings.warn("To make it possible to preserve tf.data options across "
Trained batch 45 batch loss 1.80248272 epoch total loss 1.97962177
Trained batch 46 batch loss 1.82635963 epoch total loss 1.97629
Trained batch 47 batch loss 1.75097334 epoch total loss 1.97149611
Trained batch 48 batch loss 1.78277838 epoch total loss 1.96756446
Trained batch 49 batch loss 1.79726017 epoch total loss 1.9640888
Trained batch 50 batch loss 1.79785824 epoch total loss 1.96076417
Trained batch 51 batch loss 1.74349093 epoch total loss 1.95650387
Trained batch 52 batch loss 1.64722919 epoch total loss 1.9505564
Trained batch 53 batch loss 1.68720841 epoch total loss 1.94558764
Trained batch 54 batch loss 1.7626915 epoch total loss 1.94220054
Trained batch 55 batch loss 1.81510246 epoch total loss 1.93988967
Trained batch 56 batch loss 1.77658319 epoch total loss 1.93697345
Trained batch 57 batch loss 1.84682977 epoch total loss 1.93539202
Trained batch 58 batch loss 1.78678656 epoch total loss 1.93282986
Trained batch 59 batch loss 1.80745518 epoch total loss 1.93070495
Trained batch 60 batch loss 1.79483914 epoch total loss 1.92844045
Trained batch 61 batch loss 1.72927237 epoch total loss 1.92517543
Trained batch 62 batch loss 1.64866114 epoch total loss 1.92071545
Trained batch 63 batch loss 1.6911912 epoch total loss 1.91707218
Trained batch 64 batch loss 1.65319276 epoch total loss 1.91294909
Trained batch 65 batch loss 1.67923498 epoch total loss 1.90935349
Trained batch 66 batch loss 1.72973275 epoch total loss 1.90663207
Trained batch 67 batch loss 1.63969707 epoch total loss 1.90264785
Trained batch 68 batch loss 1.58782983 epoch total loss 1.89801836
Trained batch 69 batch loss 1.78748178 epoch total loss 1.89641631
Trained batch 70 batch loss 1.6281625 epoch total loss 1.89258397
Trained batch 71 batch loss 1.56882024 epoch total loss 1.88802397
Trained batch 72 batch loss 1.70780575 epoch total loss 1.88552094
Trained batch 73 batch loss 1.71407175 epoch total loss 1.88317227
Trained batch 74 batch loss 1.76435375 epoch total loss 1.88156664
Trained batch 75 batch loss 1.70538449 epoch total loss 1.87921751
Trained batch 76 batch loss 1.71343267 epoch total loss 1.87703621
Trained batch 77 batch loss 1.68319464 epoch total loss 1.87451887
Trained batch 78 batch loss 1.60866141 epoch total loss 1.87111032
Trained batch 79 batch loss 1.72451675 epoch total loss 1.86925483
Trained batch 80 batch loss 1.7834115 epoch total loss 1.86818182
Trained batch 81 batch loss 1.68947768 epoch total loss 1.86597562
Trained batch 82 batch loss 1.71427166 epoch total loss 1.86412573
Trained batch 83 batch loss 1.73893225 epoch total loss 1.86261737
Trained batch 84 batch loss 1.71963608 epoch total loss 1.86091518
Trained batch 85 batch loss 1.64165962 epoch total loss 1.85833573
Trained batch 86 batch loss 1.69841886 epoch total loss 1.85647631
Trained batch 87 batch loss 1.71756029 epoch total loss 1.85487962
Trained batch 88 batch loss 1.48758984 epoch total loss 1.85070598
Trained batch 89 batch loss 1.6403749 epoch total loss 1.84834278
Trained batch 90 batch loss 1.64307 epoch total loss 1.84606183
Trained batch 91 batch loss 1.78618169 epoch total loss 1.84540379
Trained batch 92 batch loss 1.68250799 epoch total loss 1.84363329
Trained batch 93 batch loss 1.74517214 epoch total loss 1.8425746
Trained batch 94 batch loss 1.57431126 epoch total loss 1.83972073
Trained batch 95 batch loss 1.69136441 epoch total loss 1.83815897
Trained batch 96 batch loss 1.53016281 epoch total loss 1.8349508
Trained batch 97 batch loss 1.6796279 epoch total loss 1.83334947
Trained batch 98 batch loss 1.72406054 epoch total loss 1.83223426
Trained batch 99 batch loss 1.75131941 epoch total loss 1.83141685
Trained batch 100 batch loss 1.66700673 epoch total loss 1.82977283
Trained batch 101 batch loss 1.78293419 epoch total loss 1.82930899
Trained batch 102 batch loss 1.73533082 epoch total loss 1.82838774
Trained batch 103 batch loss 1.78046417 epoch total loss 1.82792234
Trained batch 104 batch loss 1.72066951 epoch total loss 1.82689106
Trained batch 105 batch loss 1.69981229 epoch total loss 1.82568085
Trained batch 106 batch loss 1.65089858 epoch total loss 1.82403195
Trained batch 107 batch loss 1.69000316 epoch total loss 1.8227793
Trained batch 108 batch loss 1.73637021 epoch total loss 1.82197928
Trained batch 109 batch loss 1.7418952 epoch total loss 1.8212446
Trained batch 110 batch loss 1.7386061 epoch total loss 1.82049322
Trained batch 111 batch loss 1.72809458 epoch total loss 1.81966078
Trained batch 112 batch loss 1.7272433 epoch total loss 1.81883562
Trained batch 113 batch loss 1.66096926 epoch total loss 1.8174386
Trained batch 114 batch loss 1.65274739 epoch total loss 1.81599391
Trained batch 115 batch loss 1.73582292 epoch total loss 1.81529677
Trained batch 116 batch loss 1.69090652 epoch total loss 1.81422436
Trained batch 117 batch loss 1.65513873 epoch total loss 1.81286466
Trained batch 118 batch loss 1.74100494 epoch total loss 1.81225562
Trained batch 119 batch loss 1.70514715 epoch total loss 1.81135559
Trained batch 120 batch loss 1.73178053 epoch total loss 1.81069243
Trained batch 121 batch loss 1.76245499 epoch total loss 1.81029379
Trained batch 122 batch loss 1.70870614 epoch total loss 1.80946112
Trained batch 123 batch loss 1.67710555 epoch total loss 1.80838513
Trained batch 124 batch loss 1.68284965 epoch total loss 1.80737269
Trained batch 125 batch loss 1.60740423 epoch total loss 1.8057729
Trained batch 126 batch loss 1.64506412 epoch total loss 1.80449748
Trained batch 127 batch loss 1.60821819 epoch total loss 1.80295193
Trained batch 128 batch loss 1.59889376 epoch total loss 1.80135775
Trained batch 129 batch loss 1.53889966 epoch total loss 1.7993232
Trained batch 130 batch loss 1.54798579 epoch total loss 1.79738986
Trained batch 131 batch loss 1.61597395 epoch total loss 1.79600489
Trained batch 132 batch loss 1.64728189 epoch total loss 1.79487813
Trained batch 133 batch loss 1.69201374 epoch total loss 1.79410481
Trained batch 134 batch loss 1.64038348 epoch total loss 1.79295754
Trained batch 135 batch loss 1.56010175 epoch total loss 1.79123271
Trained batch 136 batch loss 1.44390976 epoch total loss 1.78867888
Trained batch 137 batch loss 1.61592054 epoch total loss 1.78741789
Trained batch 138 batch loss 1.60162532 epoch total loss 1.78607154
Trained batch 139 batch loss 1.50125647 epoch total loss 1.78402245
Trained batch 140 batch loss 1.54496396 epoch total loss 1.7823149
Trained batch 141 batch loss 1.47674131 epoch total loss 1.78014779
Trained batch 142 batch loss 1.48590231 epoch total loss 1.77807558
Trained batch 143 batch loss 1.49448323 epoch total loss 1.77609241
Trained batch 144 batch loss 1.66735446 epoch total loss 1.77533734
Trained batch 145 batch loss 1.63817966 epoch total loss 1.77439129
Trained batch 146 batch loss 1.60294831 epoch total loss 1.77321696
Trained batch 147 batch loss 1.71397924 epoch total loss 1.77281404
Trained batch 148 batch loss 1.72061872 epoch total loss 1.7724613
Trained batch 149 batch loss 1.66740847 epoch total loss 1.77175641
Trained batch 150 batch loss 1.7362324 epoch total loss 1.77151954
Trained batch 151 batch loss 1.72232592 epoch total loss 1.77119374
Trained batch 152 batch loss 1.5929358 epoch total loss 1.77002096
Trained batch 153 batch loss 1.60330093 epoch total loss 1.76893127
Trained batch 154 batch loss 1.68566096 epoch total loss 1.76839066
Trained batch 155 batch loss 1.64633822 epoch total loss 1.76760316
Trained batch 156 batch loss 1.68109226 epoch total loss 1.7670486
Trained batch 157 batch loss 1.71607661 epoch total loss 1.76672387
Trained batch 158 batch loss 1.69458675 epoch total loss 1.76626718
Trained batch 159 batch loss 1.64144647 epoch total loss 1.76548219
Trained batch 160 batch loss 1.62033808 epoch total loss 1.764575
Trained batch 161 batch loss 1.70249009 epoch total loss 1.76418936
Trained batch 162 batch loss 1.76124322 epoch total loss 1.76417112
Trained batch 163 batch loss 1.68529618 epoch total loss 1.76368725
Trained batch 164 batch loss 1.60051739 epoch total loss 1.76269233
Trained batch 165 batch loss 1.66709363 epoch total loss 1.76211286
Trained batch 166 batch loss 1.64909339 epoch total loss 1.76143193
Trained batch 167 batch loss 1.48496318 epoch total loss 1.75977635
Trained batch 168 batch loss 1.57489443 epoch total loss 1.75867593
Trained batch 169 batch loss 1.6518867 epoch total loss 1.758044
Trained batch 170 batch loss 1.67885494 epoch total loss 1.75757825
Trained batch 171 batch loss 1.6622107 epoch total loss 1.75702047
Trained batch 172 batch loss 1.65015924 epoch total loss 1.75639915
Trained batch 173 batch loss 1.49455142 epoch total loss 1.75488544
Trained batch 174 batch loss 1.64885807 epoch total loss 1.75427616
Trained batch 175 batch loss 1.61460686 epoch total loss 1.75347793
Trained batch 176 batch loss 1.69446099 epoch total loss 1.7531426
Trained batch 177 batch loss 1.68471789 epoch total loss 1.75275612
Trained batch 178 batch loss 1.70834339 epoch total loss 1.75250661
Trained batch 179 batch loss 1.70217586 epoch total loss 1.7522254
Trained batch 180 batch loss 1.69390345 epoch total loss 1.75190139
Trained batch 181 batch loss 1.692734 epoch total loss 1.75157464
Trained batch 182 batch loss 1.71315074 epoch total loss 1.75136352
Trained batch 183 batch loss 1.66155672 epoch total loss 1.75087285
Trained batch 184 batch loss 1.66406775 epoch total loss 1.75040102
Trained batch 185 batch loss 1.66440952 epoch total loss 1.7499361
Trained batch 186 batch loss 1.67518759 epoch total loss 1.74953437
Trained batch 187 batch loss 1.65472388 epoch total loss 1.74902737
Trained batch 188 batch loss 1.68263078 epoch total loss 1.74867415
Trained batch 189 batch loss 1.64145327 epoch total loss 1.74810684
Trained batch 190 batch loss 1.62504494 epoch total loss 1.74745905
Trained batch 191 batch loss 1.67233503 epoch total loss 1.74706566
Trained batch 192 batch loss 1.7022047 epoch total loss 1.74683201
Trained batch 193 batch loss 1.6538415 epoch total loss 1.74635017
Trained batch 194 batch loss 1.63836741 epoch total loss 1.74579358
Trained batch 195 batch loss 1.58664382 epoch total loss 1.74497747
Trained batch 196 batch loss 1.64133763 epoch total loss 1.74444866
Trained batch 197 batch loss 1.54512501 epoch total loss 1.74343681
Trained batch 198 batch loss 1.51221442 epoch total loss 1.74226904
Trained batch 199 batch loss 1.51219273 epoch total loss 1.74111295
Trained batch 200 batch loss 1.52125478 epoch total loss 1.7400136
Trained batch 201 batch loss 1.60715127 epoch total loss 1.73935258
Trained batch 202 batch loss 1.82713556 epoch total loss 1.73978722
Trained batch 203 batch loss 1.63376808 epoch total loss 1.73926485
Trained batch 204 batch loss 1.723315 epoch total loss 1.73918676
Trained batch 205 batch loss 1.68298709 epoch total loss 1.73891258
Trained batch 206 batch loss 1.76915646 epoch total loss 1.73905945
Trained batch 207 batch loss 1.60291553 epoch total loss 1.73840165
Trained batch 208 batch loss 1.63891661 epoch total loss 1.73792338
Trained batch 209 batch loss 1.62450695 epoch total loss 1.73738074
Trained batch 210 batch loss 1.63042617 epoch total loss 1.73687148
Trained batch 211 batch loss 1.6368674 epoch total loss 1.7363975
Trained batch 212 batch loss 1.66767299 epoch total loss 1.73607337
Trained batch 213 batch loss 1.70334172 epoch total loss 1.73591959
Trained batch 214 batch loss 1.5878197 epoch total loss 1.73522758
Trained batch 215 batch loss 1.6458478 epoch total loss 1.7348119
Trained batch 216 batch loss 1.64570487 epoch total loss 1.73439932
Trained batch 217 batch loss 1.65033197 epoch total loss 1.73401189
Trained batch 218 batch loss 1.6082716 epoch total loss 1.73343515
Trained batch 219 batch loss 1.65244389 epoch total loss 1.73306525
Trained batch 220 batch loss 1.64783871 epoch total loss 1.73267782
Trained batch 221 batch loss 1.5628438 epoch total loss 1.73190928
Trained batch 222 batch loss 1.61823356 epoch total loss 1.73139715
Trained batch 223 batch loss 1.60768259 epoch total loss 1.73084247
Trained batch 224 batch loss 1.59110916 epoch total loss 1.73021865
Trained batch 225 batch loss 1.57434487 epoch total loss 1.7295258
Trained batch 226 batch loss 1.59020758 epoch total loss 1.72890937
Trained batch 227 batch loss 1.56196404 epoch total loss 1.72817385
Trained batch 228 batch loss 1.66474843 epoch total loss 1.72789562
Trained batch 229 batch loss 1.64081609 epoch total loss 1.72751534
Trained batch 230 batch loss 1.59964991 epoch total loss 1.72695935
Trained batch 231 batch loss 1.66146851 epoch total loss 1.72667587
Trained batch 232 batch loss 1.67314839 epoch total loss 1.7264452
Trained batch 233 batch loss 1.67824864 epoch total loss 1.72623837
Trained batch 234 batch loss 1.6231209 epoch total loss 1.72579765
Trained batch 235 batch loss 1.65210044 epoch total loss 1.72548401
Trained batch 236 batch loss 1.61612654 epoch total loss 1.72502053
Trained batch 237 batch loss 1.47237504 epoch total loss 1.72395456
Trained batch 238 batch loss 1.54885912 epoch total loss 1.72321892
Trained batch 239 batch loss 1.56292748 epoch total loss 1.72254825
Trained batch 240 batch loss 1.68843865 epoch total loss 1.72240615
Trained batch 241 batch loss 1.50654 epoch total loss 1.72151041
Trained batch 242 batch loss 1.57640982 epoch total loss 1.72091079
Trained batch 243 batch loss 1.6608268 epoch total loss 1.72066355
Trained batch 244 batch loss 1.50412154 epoch total loss 1.71977603
Trained batch 245 batch loss 1.47532523 epoch total loss 1.71877825
Trained batch 246 batch loss 1.65850198 epoch total loss 1.71853328
Trained batch 247 batch loss 1.66019154 epoch total loss 1.718297
Trained batch 248 batch loss 1.63863993 epoch total loss 1.71797585
Trained batch 249 batch loss 1.6396451 epoch total loss 1.71766126
Trained batch 250 batch loss 1.61870396 epoch total loss 1.71726549
Trained batch 251 batch loss 1.61657619 epoch total loss 1.71686435
Trained batch 252 batch loss 1.5877893 epoch total loss 1.71635222
Trained batch 253 batch loss 1.51392388 epoch total loss 1.71555209
Trained batch 254 batch loss 1.56092048 epoch total loss 1.71494329
Trained batch 255 batch loss 1.58615184 epoch total loss 1.7144382
Trained batch 256 batch loss 1.67457688 epoch total loss 1.71428251
Trained batch 257 batch loss 1.60845411 epoch total loss 1.71387076
Trained batch 258 batch loss 1.61041546 epoch total loss 1.71346974
Trained batch 259 batch loss 1.58567464 epoch total loss 1.71297634
Trained batch 260 batch loss 1.48126841 epoch total loss 1.71208513
Trained batch 261 batch loss 1.51370597 epoch total loss 1.71132505
Trained batch 262 batch loss 1.48015571 epoch total loss 1.71044266
Trained batch 263 batch loss 1.62173021 epoch total loss 1.71010542
Trained batch 264 batch loss 1.71655571 epoch total loss 1.71012986
Trained batch 265 batch loss 1.60011411 epoch total loss 1.70971477
Trained batch 266 batch loss 1.59840715 epoch total loss 1.70929635
Trained batch 267 batch loss 1.55633163 epoch total loss 1.70872343
Trained batch 268 batch loss 1.67992866 epoch total loss 1.70861602
Trained batch 269 batch loss 1.72220516 epoch total loss 1.70866644
Trained batch 270 batch loss 1.67658806 epoch total loss 1.70854759
Trained batch 271 batch loss 1.65542173 epoch total loss 1.70835161
Trained batch 272 batch loss 1.61453819 epoch total loss 1.70800674
Trained batch 273 batch loss 1.61246228 epoch total loss 1.70765674
Trained batch 274 batch loss 1.55756831 epoch total loss 1.70710886
Trained batch 275 batch loss 1.58985436 epoch total loss 1.70668244
Trained batch 276 batch loss 1.65389907 epoch total loss 1.70649123
Trained batch 277 batch loss 1.69401562 epoch total loss 1.70644629
Trained batch 278 batch loss 1.56574237 epoch total loss 1.70594013
Trained batch 279 batch loss 1.55552363 epoch total loss 1.70540094
Trained batch 280 batch loss 1.54917169 epoch total loss 1.70484293
Trained batch 281 batch loss 1.5164212 epoch total loss 1.70417237
Trained batch 282 batch loss 1.573107 epoch total loss 1.7037077
Trained batch 283 batch loss 1.35225844 epoch total loss 1.70246577
Trained batch 284 batch loss 1.44611585 epoch total loss 1.70156312
Trained batch 285 batch loss 1.52503872 epoch total loss 1.70094371
Trained batch 286 batch loss 1.46943164 epoch total loss 1.70013416
Trained batch 287 batch loss 1.64166737 epoch total loss 1.69993043
Trained batch 288 batch loss 1.58277261 epoch total loss 1.69952357
Trained batch 289 batch loss 1.6025629 epoch total loss 1.69918811
Trained batch 290 batch loss 1.64673865 epoch total loss 1.69900727
Trained batch 291 batch loss 1.63828373 epoch total loss 1.69879854
Trained batch 292 batch loss 1.65504193 epoch total loss 1.69864869
Trained batch 293 batch loss 1.5372262 epoch total loss 1.69809771
Trained batch 294 batch loss 1.4727993 epoch total loss 1.69733143
Trained batch 295 batch loss 1.55707538 epoch total loss 1.69685602
Trained batch 296 batch loss 1.56367064 epoch total loss 1.69640601
Trained batch 297 batch loss 1.57256818 epoch total loss 1.69598901
Trained batch 298 batch loss 1.65847874 epoch total loss 1.69586313
Trained batch 299 batch loss 1.6891396 epoch total loss 1.69584072
Trained batch 300 batch loss 1.53650069 epoch total loss 1.69530952
Trained batch 301 batch loss 1.55650711 epoch total loss 1.69484842
Trained batch 302 batch loss 1.53629303 epoch total loss 1.69432342
Trained batch 303 batch loss 1.52800345 epoch total loss 1.69377458
Trained batch 304 batch loss 1.60206699 epoch total loss 1.69347286
Trained batch 305 batch loss 1.68907034 epoch total loss 1.69345844
Trained batch 306 batch loss 1.73336244 epoch total loss 1.69358873
Trained batch 307 batch loss 1.6516484 epoch total loss 1.69345224
Trained batch 308 batch loss 1.59689045 epoch total loss 1.6931386
Trained batch 309 batch loss 1.5923003 epoch total loss 1.6928122
Trained batch 310 batch loss 1.56925786 epoch total loss 1.69241369
Trained batch 311 batch loss 1.56775403 epoch total loss 1.69201291
Trained batch 312 batch loss 1.57762051 epoch total loss 1.69164634
Trained batch 313 batch loss 1.61643946 epoch total loss 1.69140601
Trained batch 314 batch loss 1.5962472 epoch total loss 1.69110298
Trained batch 315 batch loss 1.5932529 epoch total loss 1.69079244
Trained batch 316 batch loss 1.64216816 epoch total loss 1.69063842
Trained batch 317 batch loss 1.59776974 epoch total loss 1.69034553
Trained batch 318 batch loss 1.64657259 epoch total loss 1.69020784
Trained batch 319 batch loss 1.66562724 epoch total loss 1.69013083
Trained batch 320 batch loss 1.61541533 epoch total loss 1.6898973
Trained batch 321 batch loss 1.64403868 epoch total loss 1.68975449
Trained batch 322 batch loss 1.59180939 epoch total loss 1.68945026
Trained batch 323 batch loss 1.59343505 epoch total loss 1.68915308
Trained batch 324 batch loss 1.60312736 epoch total loss 1.6888876
Trained batch 325 batch loss 1.62269413 epoch total loss 1.68868387
Trained batch 326 batch loss 1.54097521 epoch total loss 1.68823075
Trained batch 327 batch loss 1.47984707 epoch total loss 1.68759346
Trained batch 328 batch loss 1.63780951 epoch total loss 1.68744171
Trained batch 329 batch loss 1.48771155 epoch total loss 1.68683469
Trained batch 330 batch loss 1.50802302 epoch total loss 1.68629277
Trained batch 331 batch loss 1.60298729 epoch total loss 1.686041
Trained batch 332 batch loss 1.62020826 epoch total loss 1.68584263
Trained batch 333 batch loss 1.54592 epoch total loss 1.68542242
Trained batch 334 batch loss 1.61756885 epoch total loss 1.68521917
Trained batch 335 batch loss 1.46657217 epoch total loss 1.6845665
Trained batch 336 batch loss 1.34879947 epoch total loss 1.68356729
Trained batch 337 batch loss 1.4341898 epoch total loss 1.68282723
Trained batch 338 batch loss 1.54346502 epoch total loss 1.68241489
Trained batch 339 batch loss 1.49764681 epoch total loss 1.68186986
Trained batch 340 batch loss 1.55038595 epoch total loss 1.68148315
Trained batch 341 batch loss 1.59202874 epoch total loss 1.68122089
Trained batch 342 batch loss 1.55767608 epoch total loss 1.68085968
Trained batch 343 batch loss 1.58871317 epoch total loss 1.68059087
Trained batch 344 batch loss 1.59357595 epoch total loss 1.68033791
Trained batch 345 batch loss 1.74116337 epoch total loss 1.68051422
Trained batch 346 batch loss 1.70142698 epoch total loss 1.68057466
Trained batch 347 batch loss 1.64978099 epoch total loss 1.68048584
Trained batch 348 batch loss 1.43206632 epoch total loss 1.67977202
Trained batch 349 batch loss 1.41401827 epoch total loss 1.67901051
Trained batch 350 batch loss 1.56871474 epoch total loss 1.67869544
Trained batch 351 batch loss 1.586151 epoch total loss 1.67843163
Trained batch 352 batch loss 1.69534707 epoch total loss 1.67847979
Trained batch 353 batch loss 1.67051542 epoch total loss 1.67845726
Trained batch 354 batch loss 1.71448052 epoch total loss 1.67855906
Trained batch 355 batch loss 1.65961421 epoch total loss 1.67850566
Trained batch 356 batch loss 1.58493376 epoch total loss 1.67824292
Trained batch 357 batch loss 1.66453564 epoch total loss 1.67820454
Trained batch 358 batch loss 1.6765703 epoch total loss 1.6782
Trained batch 359 batch loss 1.64506507 epoch total loss 1.67810774
Trained batch 360 batch loss 1.61555839 epoch total loss 1.67793393
Trained batch 361 batch loss 1.50405455 epoch total loss 1.67745221
Trained batch 362 batch loss 1.43160582 epoch total loss 1.67677295
Trained batch 363 batch loss 1.55366933 epoch total loss 1.6764338
Trained batch 364 batch loss 1.62800884 epoch total loss 1.67630076
Trained batch 365 batch loss 1.53997195 epoch total loss 1.67592728
Trained batch 366 batch loss 1.6240108 epoch total loss 1.67578542
Trained batch 367 batch loss 1.66772008 epoch total loss 1.67576349
Trained batch 368 batch loss 1.48512268 epoch total loss 1.6752454
Trained batch 369 batch loss 1.62872696 epoch total loss 1.67511928
Trained batch 370 batch loss 1.60998988 epoch total loss 1.67494321
Trained batch 371 batch loss 1.67836428 epoch total loss 1.67495239
Trained batch 372 batch loss 1.75235236 epoch total loss 1.67516053
Trained batch 373 batch loss 1.71984076 epoch total loss 1.67528033
Trained batch 374 batch loss 1.67651594 epoch total loss 1.67528367
Trained batch 375 batch loss 1.60842907 epoch total loss 1.67510545
